libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
licenses 20200427-1
linux 5.10.5.arch1-1
linux-api-headers 5.8-1
linux-firmware 20201218.646f159-1
llvm-libs 11.0.0-4
lm_sensors 3.6.0-2
lz4 1:1.9.3-1
lzo 2.10-3
m4 1.4.18-3
make 4.3-3
man-db 2.9.3-1
mesa 20.3.2-2
minizip 1:1.2.11-4
mkinitcpio 29-1
mkinitcpio-busybox 1.32.1-1
mobile-broadband-provider-info 20201225-1
mpfr 4.1.0-1
mtdev 1.1.6-1
ncurses 6.2-1
nettle 3.7-1
networkmanager 1.26.4-1
npth 1.6-2
nspr 4.29-1
nss 3.60-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openssl 1.1.1.i-2
opus 1.3.1-2
p11-kit 0.23.22-1
pacman 5.2.2-1
pacman-mirrorlist 20201205-1
pam 1.5.0-2
pambase 20200721.1-2
pango 1:1.48.0-1
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
perl 5.32.0-3
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
picom 8.2-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.118-1
polybar 3.5.4-1
popt 1.18-1
procps-ng 3.3.16-2
psmisc 23.3-4
python 3.9.1-1
python-appdirs 1.4.4-3
python-babel 2.9.0-1
python-chardet 3.0.4-7
python-docutils 0.16-4
python-idna 2.10-3
python-imagesize 1.2.0-4
python-jinja 2.11.2-4
python-markupsafe 1.1.1-6
python-ordered-set 4.0.2-3
python-packaging 20.8-2
python-pygments 2.7.3-1
python-pyparsing 2.4.7-3
python-pytz 2020.5-1
python-pywal 3.3.0-3
python-requests 2.25.1-1
python-setuptools 1:51.1.1-1
python-six 1.15.0-3
python-snowballstemmer 2.0.0-6
python-sphinx 3.4.2-1
python-sphinx-alabaster-theme 0.7.12-6
python-sphinxcontrib-applehelp 1.0.2-3
python-sphinxcontrib-devhelp 1.0.2-3
python-sphinxcontrib-htmlhelp 1.0.3-3
python-sphinxcontrib-jsmath 1.0.1-6
python-sphinxcontrib-qthelp 1.0.3-3
python-sphinxcontrib-serializinghtml 1.1.4-3
python-urllib3 1.26.1-1
rav1e 0.3.5-1
re2 1:20201101-1
readline 8.1.0-2
refind 0.12.0-6
rest 0.8.1-3
rhash 1.4.0-1
sdl2 2.0.14-1
sed 4.8-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
slang 2.3.2-2
snappy 1.1.8-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.34.0-1
srt 1.4.2-1
startup-notification 0.12-7
